filename,anomaly_score,ground_truth_label,subset_tag,pred_validation_threshold,pred_oracle_threshold
frame_0012.jpg,0.4852272868156433,0,val_good,0,0
frame_0018.jpg,0.5137482285499573,0,val_good,0,0
frame_0021.jpg,0.47554945945739746,0,val_good,0,0
frame_0026.jpg,0.4387338161468506,0,val_good,0,0
frame_0032.jpg,0.45728862285614014,0,val_good,0,0
frame_0059.jpg,0.5054090619087219,0,val_good,0,0
frame_0060.jpg,0.4666931927204132,0,val_good,0,0
frame_0075.jpg,0.49401384592056274,0,val_good,0,0
frame_0076.jpg,0.45360276103019714,0,val_good,0,0
frame_0093.jpg,0.44650739431381226,0,val_good,0,0
frame_0097.jpg,0.5315557718276978,0,val_good,0,0
frame_0098.jpg,0.5130928754806519,0,val_good,0,0
frame_0117.jpg,0.43073877692222595,0,val_good,0,0
frame_0118.jpg,0.6233989000320435,0,val_good,0,0
frame_0138.jpg,0.5489552021026611,0,val_good,0,0
frame_0142.jpg,0.5308210253715515,0,val_good,0,0
frame_0148.jpg,0.5279793739318848,0,val_good,0,0
frame_0159.jpg,0.46461185812950134,0,val_good,0,0
frame_0161.jpg,0.47927621006965637,0,val_good,0,0
frame_0163.jpg,0.4400016963481903,0,val_good,0,0
frame_0170.jpg,0.41093936562538147,0,val_good,0,0
frame_0181.jpg,0.46190914511680603,0,val_good,0,0
frame_0187.jpg,0.5452243685722351,0,val_good,0,0
frame_0198.jpg,0.45729774236679077,0,val_good,0,0
frame_0207.jpg,0.5270648002624512,0,val_good,0,0
frame_0213.jpg,0.5571135878562927,0,val_good,0,0
frame_0214.jpg,0.5781545042991638,0,val_good,0,0
frame_0219.jpg,0.588445782661438,0,val_good,0,0
frame_0221.jpg,0.4812033474445343,0,val_good,0,0
frame_0222.jpg,0.46135976910591125,0,val_good,0,0
frame_0227.jpg,0.5052498579025269,0,val_good,0,0
frame_0237.jpg,0.47668179869651794,0,val_good,0,0
frame_0247.jpg,0.7452969551086426,0,val_good,1,1
frame_0254.jpg,0.4840693771839142,0,val_good,0,0
frame_0277.jpg,0.5207555890083313,0,val_good,0,0
frame_0287.jpg,0.49996745586395264,0,val_good,0,0
frame_0004.jpg,0.4850232005119324,0,good,0,0
frame_0013.jpg,0.5057746171951294,0,good,0,0
frame_0014.jpg,0.46668821573257446,0,good,0,0
frame_0016.jpg,0.5116060972213745,0,good,0,0
frame_0017.jpg,0.5180196762084961,0,good,0,0
frame_0045.jpg,0.52791827917099,0,good,0,0
frame_0048.jpg,0.5643733143806458,0,good,0,0
frame_0050.jpg,0.5625808238983154,0,good,0,0
frame_0053.jpg,0.510385274887085,0,good,0,0
frame_0058.jpg,0.4918214976787567,0,good,0,0
frame_0072.jpg,0.46399322152137756,0,good,0,0
frame_0080.jpg,0.559302031993866,0,good,0,0
frame_0082.jpg,0.5199092626571655,0,good,0,0
frame_0102.jpg,0.47107791900634766,0,good,0,0
frame_0111.jpg,0.5713303685188293,0,good,0,0
frame_0112.jpg,0.5418297648429871,0,good,0,0
frame_0113.jpg,0.532091498374939,0,good,0,0
frame_0115.jpg,0.43544256687164307,0,good,0,0
frame_0120.jpg,0.6254085302352905,0,good,0,0
frame_0126.jpg,0.45823198556900024,0,good,0,0
frame_0136.jpg,0.45280155539512634,0,good,0,0
frame_0141.jpg,0.5207417011260986,0,good,0,0
frame_0143.jpg,0.5448535084724426,0,good,0,0
frame_0173.jpg,0.6864346861839294,0,good,0,1
frame_0175.jpg,0.48788607120513916,0,good,0,0
frame_0177.jpg,0.479854017496109,0,good,0,0
frame_0184.jpg,0.5025606155395508,0,good,0,0
frame_0195.jpg,0.4908844232559204,0,good,0,0
frame_0215.jpg,0.5158712863922119,0,good,0,0
frame_0217.jpg,0.5322871804237366,0,good,0,0
frame_0230.jpg,0.6599118709564209,0,good,0,0
frame_0259.jpg,0.5147734880447388,0,good,0,0
frame_0271.jpg,0.497972309589386,0,good,0,0
frame_0280.jpg,0.5395338535308838,0,good,0,0
frame_0283.jpg,0.45060834288597107,0,good,0,0
frame_0285.jpg,0.5293899774551392,0,good,0,0
frame_0286.jpg,0.5436728000640869,0,good,0,0
original_damaged_joint_01_frame_0420.jpg,0.6885563731193542,1,real_damage,0,1
original_damaged_joint_02_frame_0424.jpg,0.7499057650566101,1,real_damage,1,1
original_damaged_joint_03_frame_0429.jpg,0.7470157742500305,1,real_damage,1,1
original_damaged_joint_04_frame_0433.jpg,0.7300039529800415,1,real_damage,1,1
original_damaged_joint_05_frame_0437.jpg,0.7622280716896057,1,real_damage,1,1
original_damaged_joint_06_frame_0442.jpg,0.7072423100471497,1,real_damage,1,1
